"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время начала отключения электроснабжения Время,Плановое время восстановления отключения электроснабжения,Плановое время восстановления отключения электроснабжения Время,Филиал,РЭС,Комментарий,Id здания,Координаты
Санкт-Петербург,Курортный район,п.Молодежное,"Приморское ш,  д.650А",21-09-2023,09:00,21-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,70142.0,"[60.194793604,29.527789677]"
Санкт-Петербург,Курортный район,п.Молодежное,"Приморское ш,  д.648А",21-09-2023,09:00,21-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,5811.0,"[60.194583178,29.534356644]"
Санкт-Петербург,Курортный район,г.Зеленогорск,"Ленина ул.,  д.15А",21-09-2023,09:00,21-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,38446.0,"[60.080864042,30.253022779]"
Санкт-Петербург,Курортный район,г.Зеленогорск,Комсомольская ул Участок 11,21-09-2023,09:00,21-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,41007.0,"[59.841817905,30.143346503]"
Ленинградская область,Сланцевский район,Старополье,"Администрация,  Почта,  МКД 1,  2,",21-09-2023,09:00,21-09-2023,16:00,Кингисеппские ЭС,Кингисеппский РЭС,,141446.0,"[60.01203359,29.746089106]"
Санкт-Петербург,Приморский район (СПб),"Лахта,  Ольгино","Колхозная ул,  уч.2",21-09-2023,09:00,21-09-2023,17:00,Северные электрические сети,Песочинский РЭС,"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением.
",64443.0,"[59.782006284,30.130922511]"
Санкт-Петербург,Приморский район (СПб),"Лахта,  Ольгино","Колхозная ул,  уч.1 ",21-09-2023,09:00,21-09-2023,17:00,Северные электрические сети,Песочинский РЭС,"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением.
",21417.0,"[60.08514773,30.294784012]"
Санкт-Петербург,Приморский район (СПб),"Лахта,  Ольгино","Партизан ул,  участок 1 ",21-09-2023,09:00,21-09-2023,17:00,Северные электрические сети,Песочинский РЭС,"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением.
",2201.0,"[59.992371177,30.154950538]"
Санкт-Петербург,Пушкинский район,г. Павловск,"ул. Декабристов д.9,  1",21-09-2023,09:00,21-09-2023,21:00,Южные электрические сети,Пушкинский РЭС,,44474.0,"[59.928632114,30.304569657]"
Санкт-Петербург,Пушкинский район,г. Павловск,"Красного Курсанта д.3, 8",21-09-2023,09:00,21-09-2023,21:00,Южные электрические сети,Пушкинский РЭС,,30910.0,"[59.955055519,30.293235076]"
