"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Филиал,РЭС,Комментарий,Id здания,Координаты,Время начала отключения,Время восстановления отключения,Код района,Код РЭС,Период отключения(в часах)
Ленинградская область,Тосненский район,г. Любань,"жил.дома-ул.Березовая аллея,       жил.дома-ул.Пролетарская, Калинина, Красная, Советская, Луговая                                                         8-е марта, Кирова, Эрджигитова, Урицкого, ",Гатчинские ЭС,Тосненский РЭС,Чистка трассы ВЛ от ДКР,,,2023-09-21 09:00:00,2023-09-21 18:30:00,Тосн,Тосн,9
Ленинградская область,Лужский район,Холомцы,,Кингисеппские ЭС,Лужский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Лужс,Лужс,8
Ленинградская область,Киришский район,СТ Рассвет,Полностью ,Тихвинские ЭС,Тихвинский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Кири,Тихв,8
Ленинградская область,Всеволожский район,СНТ Кокосы.,-,Северные электрические сети,Всеволожский РЭС,,,,2023-09-21 09:00:00,2023-09-21 19:00:00,Всев,Всев,10
Ленинградская область,Киришский район,"д.Андреево,  д.Багольник",деревня,Тихвинские ЭС,Тихвинский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Кири,Тихв,8
Ленинградская область,Кингисеппский район,"Старое Гарколово,  Новое Гарколово","Забалканская,  Пограничная,  Сиреневая,  база отдыха",Кингисеппские ЭС,Кингисеппский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Кинг,Кинг,8
Ленинградская область,Всеволожский район,д.Мистолово ,,Северные электрические сети,Сертоловский РЭС,,,,2023-09-21 09:00:00,2023-09-21 16:00:00,Всев,Серт,7
Ленинградская область,Всеволожский район,п.Ново-девяткино,пром.зона,Северные электрические сети,Сертоловский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Всев,Серт,8
Ленинградская область,Волховский район,д. Загубье,Набережная,Новоладожские ЭС,Лодейнопольский РЭС,Плановое отключение,,,2023-09-21 09:00:00,2023-09-21 16:00:00,Волх,Лоде,7
Ленинградская область,Волосовский район,Клопицы (частный сектор),население по основной дороге,Гатчинские ЭС,Ломоносовский РЭС,плановые работы на ТП-8130,,,2023-09-21 09:00:00,2023-09-21 12:00:00,Воло,Ломо,3
Ленинградская область,Волосовский район,"Сельцо,  Слободка,  Рутелицы",население ,Гатчинские ЭС,Ломоносовский РЭС,плановые работы на ВЛ 10кВ,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Воло,Ломо,8
